date,year,month,day,weekday,weekday_num,is_weekend,is_holiday,holiday_name,rokuyou,junishi,is_taian,is_ichiryumanbai,is_tensha,is_tora_no_hi,is_mi_no_hi,temp_max,temp_min,temp_mean,precipitation,weather
2022-08-01,2022,8,1,月,0,False,False,,大安,戌,True,False,False,False,False,31.5,25.1,27.5,0.0,曇り
2022-08-02,2022,8,2,火,1,False,False,,赤口,亥,False,False,False,False,False,32.9,25.3,29.0,0.0,曇り
2022-08-03,2022,8,3,水,2,False,False,,先勝,子,False,False,False,False,False,29.4,25.2,27.5,0.0,曇り
2022-08-04,2022,8,4,木,3,False,False,,友引,丑,False,True,False,False,False,25.1,23.0,24.2,17.0,雨
2022-08-05,2022,8,5,金,4,False,False,,先負,寅,False,True,False,True,False,24.8,22.4,23.6,0.8,小雨
2022-08-06,2022,8,6,土,5,True,False,,仏滅,卯,False,False,False,False,False,24.4,22.0,23.1,0.0,曇り
2022-08-07,2022,8,7,日,6,True,False,,大安,辰,True,False,False,False,False,26.9,21.5,24.8,0.0,曇り
2022-08-08,2022,8,8,月,0,False,False,,赤口,巳,False,False,False,False,True,30.9,24.8,27.7,0.3,小雨
2022-08-09,2022,8,9,火,1,False,False,,先勝,午,False,False,False,False,False,32.5,26.5,29.0,0.0,曇り
2022-08-10,2022,8,10,水,2,False,False,,友引,未,False,False,False,False,False,32.7,26.1,28.9,0.0,曇り
2022-08-11,2022,8,11,木,3,False,True,山の日,先負,申,False,False,False,False,False,31.0,25.7,28.2,0.7,小雨
2022-08-12,2022,8,12,金,4,False,False,,仏滅,酉,False,False,False,False,False,31.2,26.6,28.5,0.5,小雨
2022-08-13,2022,8,13,土,5,True,False,,大安,戌,True,False,False,False,False,30.1,24.9,27.1,27.3,大雨
2022-08-14,2022,8,14,日,6,True,False,,赤口,亥,False,False,False,False,False,30.0,24.1,26.8,0.0,曇り
2022-08-15,2022,8,15,月,0,False,False,,先勝,子,False,False,False,False,False,27.4,23.9,25.4,0.0,曇り
2022-08-16,2022,8,16,火,1,False,False,,友引,丑,False,False,False,False,False,33.2,24.8,28.6,0.0,曇り
2022-08-17,2022,8,17,水,2,False,False,,先負,寅,False,False,False,True,False,27.0,23.4,25.3,4.8,雨
2022-08-18,2022,8,18,木,3,False,False,,仏滅,卯,False,True,False,False,False,27.7,23.0,25.1,16.3,雨
2022-08-19,2022,8,19,金,4,False,False,,大安,辰,True,True,False,False,False,27.4,20.6,24.3,0.0,曇り
2022-08-20,2022,8,20,土,5,True,False,,赤口,巳,False,True,False,False,True,27.2,21.6,24.5,3.2,雨
2022-08-21,2022,8,21,日,6,True,False,,先勝,午,False,False,False,False,False,25.1,22.9,24.0,1.2,雨
2022-08-22,2022,8,22,月,0,False,False,,友引,未,False,False,False,False,False,25.6,23.0,24.0,0.0,曇り
2022-08-23,2022,8,23,火,1,False,False,,先負,申,False,False,True,False,False,28.2,22.4,25.6,0.0,曇り
2022-08-24,2022,8,24,水,2,False,False,,仏滅,酉,False,False,False,False,False,26.0,23.0,24.7,0.1,小雨
2022-08-25,2022,8,25,木,3,False,False,,大安,戌,True,False,False,False,False,25.0,22.2,23.5,0.0,曇り
2022-08-26,2022,8,26,金,4,False,False,,赤口,亥,False,False,False,False,False,25.9,21.9,23.8,0.5,小雨
2022-08-27,2022,8,27,土,5,True,False,,先勝,子,False,False,False,False,False,27.2,23.5,25.3,5.4,雨
